bowler,bowling Hand,bowling Type
DR Smith,Right Handed,Right Arm Medium
P Kumar,Right Handed,Right Arm Medium
BE Hendricks,Left Handed,Left Arm Fast Medium
J Yadav,Right Handed,Right Arm Off Break
MM Patel,Right Handed,Right Arm Medium Fast
S Nadeem,Right Handed,Left Arm Orthodox
I Sharma,Right Handed,Right Arm Fast Medium
E Lewis,Left Handed,
MDKJ Perera,Right Handed,Right Arm Off Break
Rashid Khan,Right Handed,Right Arm Leg Break
Anad Rajan,Right Handed,Right Arm Medium
KK Cooper,Right Handed,Right Arm Medium
R Dhawan,Right Handed,Right Arm Medium Fast
A Mithun,Right Handed,Right Arm Medium
AN Ghosh,Right Handed,Right Arm Medium
TM Srivastava,Left Handed,Right Arm Medium
W Jaffer,Right Handed,Right Arm Off Break
M Kartik,Left Handed,Left Arm Orthodox
Harmeet Singh,Right Handed,Right Arm Medium
C Madan,Right Handed,
AS Joseph,Right Handed,Right Arm Fast Medium
U Kaul,Left Handed,
RA Shaikh,Left Handed,Left Arm Medium
V Kohli,Right Handed,Right Arm Medium
C Nanda,Right Handed,Right Arm Leg Break
P Amarnath,Right Handed,Right Arm Medium
R Sharma,Right Handed,Right Arm Leg Break
A Uniyal,Left Handed,Left Arm Medium
L Balaji,Right Handed,Right Arm Medium Fast
M Rawat,Right Handed,
A Nel,Right Handed,Right Arm Fast Medium
M Morkel,Left Handed,Right Arm Fast
B Lee,Right Handed,Right Arm Fast
R Bishnoi,Right Handed,Left Arm Fast Medium
A Mishra,Right Handed,Right Arm Leg Break
N Saini,Right Handed,
S Aravind,Left Handed,Left Arm Fast Medium
J Botha,Right Handed,Right Arm Off Break
VRV Singh,Right Handed,Right Arm Medium Fast
S Rana,Right Handed,
R McLaren,Left Handed,Right Arm Fast Medium
B Laughlin,Right Handed,Right Arm Fast Medium
IS Sodhi,Right Handed,Right Arm Leg Break
RE van der Merwe,Right Handed,Left Arm Orthodox
Kamran Khan,Left Handed,Left Arm Fast Medium
D du Preez,Right Handed,Right Arm Fast Medium
Mohammad Asif,Right Handed,Right Arm Fast Medium
AS Yadav,Right Handed,Right Arm Off Break
DJ Bravo,Right Handed,Right Arm Medium
N Rana,Left Handed,Right Arm Off Break
O Thomas,Left Handed,Right Arm Medium Fast
B Kumar,Right Handed,Right Arm Medium
A Chopra,Right Handed,Right Arm Medium
R Shukla,Right Handed,Right Arm Medium
T Kohli,Right Handed,Right Arm Medium
S Kaul,Right Handed,Right Arm Medium
H Das,Right Handed,
S Tyagi,Right Handed,Right Arm Medium
M Ashwin,Right Handed,Left Arm Chinaman (Googly)
M de Lange,Right Handed,Right Arm Medium Fast
S Dhawan,Left Handed,
R Ashwin,Right Handed,Right Arm Off Break
T Henderson,Right Handed,Right Arm Fast Medium
I Malhotra,Right Handed,Right Arm Fast Medium
P Chopra,Right Handed,Right Arm Leg Break
AS Roy,Left Handed,Left Arm Orthodox
T Natarajan,Left Handed,Left Arm Medium
CJ Jordan,Right Handed,Right Arm Fast Medium
MP Stoinis,Right Handed,Right Arm Medium
R Bhatia,Right Handed,
RR Bhatkal,Right Handed,Right Arm Medium
DA Warner,Left Handed,Right Arm Leg Break
RT Ponting,Right Handed,Right Arm Medium
SK Warne,Right Handed,Right Arm Leg Break
RR Bose,Right Handed,Right Arm Fast Medium
Monu Kumar,Right Handed,Left Arm Medium
JP Faulkner,Right Handed,Left Arm Medium
R Parag,Right Handed,Right Arm Leg Break
Iqbal Abdulla,Left Handed,Left Arm Orthodox
B Geeves,Right Handed,Right Arm Fast Medium
KC Sangakkara,Left Handed,Right Arm Off Break
AB Dinda,Right Handed,Right Arm Medium Fast
SB Jakati,Left Handed,Left Arm Orthodox
UT Khawaja,Left Handed,Right Arm Medium
DM Bravo,Left Handed,Right Arm Medium Fast
CA Pujara,Right Handed,Right Arm Leg Break
R Rampaul,Left Handed,Right Arm Fast Medium
A Zampa,Right Handed,Right Arm Leg Break
V Shankar,Right Handed,Right Arm Off Break
KM Asif,Right Handed,Right Arm Medium
SE Marsh,Left Handed,Left Arm Orthodox
RS Bopara,Right Handed,Right Arm Medium
Vishnu Vinod,Right Handed,
S Lamichhane,Right Handed,Left Arm Chinaman (Googly)
YBK Jaiswal,Left Handed,Right Arm Leg Break
LH Ferguson,Right Handed,Right Arm Fast
RE Levi,Right Handed,Right Arm Medium
Gurkeerat Singh,Right Handed,Right Arm Off Break
S Gopal,Right Handed,Right Arm Leg Break
AJ Tye,Right Handed,Right Arm Medium Fast
NV Ojha,Right Handed,
DS Lehmann,Left Handed,Left Arm Orthodox
MN van Wyk,Right Handed,Left Arm Orthodox
CJ Ferguson,Right Handed,Right Arm Medium
JDS Neesham,Left Handed,Right Arm Medium
AG Murtaza,Left Handed,Left Arm Orthodox
M Vohra,Right Handed,Right Arm Medium
HH Pandya,Right Handed,Right Arm Medium Fast
I Udana,Right Handed,Left Arm Fast Medium
KV Sharma,Left Handed,Right Arm Leg Break
SM Katich,Left Handed,Left Arm Chinaman (Googly)
MR Marsh,Right Handed,Right Arm Medium
JL Pattinson,Left Handed,Right Arm Fast Medium
LRPL Taylor,Right Handed,Right Arm Off Break
SS Sarkar,Right Handed,Right Arm Medium
MS Dhoni,Right Handed,
JDP Oram,Left Handed,Right Arm Medium
DS Kulkarni,Right Handed,Right Arm Medium
MC Henriques,Right Handed,Right Arm Fast Medium
A Symonds,Right Handed,Right Arm Medium Fast
Mujeeb Ur Rahman,Right Handed,Right Arm Off Break
AG Paunikar,Right Handed,
Sachin Baby,Left Handed,Right Arm Off Break
Azhar Mahmood,Right Handed,Right Arm Fast Medium
SM Curran,Left Handed,Left Arm Medium Fast
SP Narine,Left Handed,Right Arm Off Break
MK Lomror,Left Handed,Left Arm Orthodox
AB Barath,Right Handed,Right Arm Off Break
BA Bhatt,Left Handed,Left Arm Orthodox
AC Blizzard,Left Handed,Left Arm Medium
Shubman Gill,Right Handed,Right Arm Off Break
Mohammed Siraj,Right Handed,Right Arm Medium Fast
KB Arun Karthik,Right Handed,Right Arm Leg Break
LMP Simmons,Right Handed,Right Arm Medium Fast
SA Yadav,Right Handed,Right Arm Medium
CJ McKay,Right Handed,Right Arm Fast Medium
BJ Rohrer,Left Handed,
CL White,Right Handed,Right Arm Leg Break
R Dravid,Right Handed,Right Arm Off Break
HH Gibbs,Right Handed,Right Arm Fast Medium
YA Abdulla,Left Handed,Left Arm Fast Medium
STR Binny,Right Handed,Right Arm Medium
A Flintoff,Right Handed,Right Arm Fast
DJM Short,Left Handed,Left Arm Orthodox
Shakib Al Hasan,Left Handed,Left Arm Orthodox/Left Arm Medium Fast
Harpreet Singh,Left Handed,Right Arm Medium
JH Kallis,Right Handed,Right Arm Fast Medium
Gagandeep Singh,Right Handed,Right Arm Fast Medium
PP Shaw,Right Handed,Right Arm Off Break
WD Parnell,Left Handed,Left Arm Medium Fast
F du Plessis,Right Handed,Right Arm Leg Break
AD Mascarenhas,Right Handed,Right Arm Fast Medium
V Pratap Singh,Right Handed,Right Arm Medium
KA Pollard,Right Handed,Right Arm Medium
SS Shaikh,Right Handed,Right Arm Medium
DJ Hooda,Right Handed,Right Arm Off Break
ER Dwivedi,Right Handed,
Niraj Patel,Left Handed,
RJ Peterson,Left Handed,Left Arm Orthodox
SC Kuggeleijn,Right Handed,Right Arm Fast Medium
S Sandeep Warrier,Right Handed,Right Arm Medium
DAJ Bracewell,Right Handed,Right Arm Medium
MC Juneja,Right Handed,Right Arm Off Break
KL Nagarkoti,Right Handed,Right Arm Fast
CK Kapugedera,Right Handed,Right Arm Medium
KL Rahul,Right Handed,
L Ronchi,Right Handed,
K Gowtham,Right Handed,Right Arm Off Break
JL Denly,Right Handed,Right Arm Leg Break
SD Chitnis,Right Handed,Right Arm Off Break
S Vidyut,Left Handed,Left Arm Orthodox
H Klaasen,Right Handed,
RG More,Right Handed,Right Arm Medium
KAJ Roach,Right Handed,Right Arm Fast Medium
R Vinay Kumar,Right Handed,Right Arm Medium
BJ Hodge,Right Handed,Right Arm Off Break
D Kalyankrishna,Right Handed,Right Arm Fast Medium
RS Sodhi,Right Handed,Right Arm Medium
